event_type,node,reason,station_id,task_id,time,vehicle_id
charge_unreachable,0,,,,271,0
charge_unreachable,0,,,,271,1
charge_unreachable,0,,,,271,2
charge_unreachable,0,,,,271,4
charge_unreachable,0,,,,271,5
charge_unreachable,0,,,,271,6
charge_unreachable,0,,,,271,7
charge_unreachable,0,,,,271,9
charge_unreachable,0,,,,272,0
charge_unreachable,0,,,,272,1
charge_unreachable,0,,,,272,2
charge_unreachable,0,,,,272,4
charge_unreachable,0,,,,272,5
charge_unreachable,0,,,,272,6
charge_unreachable,0,,,,272,7
charge_unreachable,0,,,,272,9
charge_unreachable,0,,,,273,0
charge_unreachable,0,,,,273,1
charge_unreachable,0,,,,273,2
charge_unreachable,0,,,,273,4
charge_unreachable,0,,,,273,5
charge_unreachable,0,,,,273,6
charge_unreachable,0,,,,273,7
charge_unreachable,0,,,,273,9
task_released,,,,90,274,
charge_unreachable,0,,,,274,0
charge_unreachable,0,,,,274,1
charge_unreachable,0,,,,274,2
charge_unreachable,0,,,,274,4
charge_unreachable,0,,,,274,5
charge_unreachable,0,,,,274,6
charge_unreachable,0,,,,274,7
charge_unreachable,0,,,,274,9
charge_unreachable,0,,,,275,0
charge_unreachable,0,,,,275,1
charge_unreachable,0,,,,275,2
charge_unreachable,0,,,,275,4
charge_unreachable,0,,,,275,5
charge_unreachable,0,,,,275,6
charge_unreachable,0,,,,275,7
task_completed,,,,75,275,
charge_unreachable,0,,,,275,9
charge_unreachable,0,,,,276,0
charge_unreachable,0,,,,276,1
charge_unreachable,0,,,,276,2
charge_unreachable,0,,,,276,4
charge_unreachable,0,,,,276,5
charge_unreachable,0,,,,276,6
charge_unreachable,0,,,,276,7
charge_unreachable,0,,,,276,9
task_released,,,,66,277,
charge_unreachable,0,,,,277,0
charge_unreachable,0,,,,277,1
charge_unreachable,0,,,,277,2
charge_unreachable,0,,,,277,4
charge_unreachable,0,,,,277,5
charge_unreachable,0,,,,277,6
charge_unreachable,0,,,,277,7
charge_unreachable,0,,,,277,9
charge_unreachable,0,,,,278,0
charge_unreachable,0,,,,278,1
charge_unreachable,0,,,,278,2
charge_unreachable,0,,,,278,4
charge_unreachable,0,,,,278,5
charge_unreachable,0,,,,278,6
charge_unreachable,0,,,,278,7
charge_unreachable,0,,,,278,9
charge_unreachable,0,,,,279,0
charge_unreachable,0,,,,279,1
charge_unreachable,0,,,,279,2
charge_unreachable,0,,,,279,4
charge_unreachable,0,,,,279,5
charge_unreachable,0,,,,279,6
charge_unreachable,0,,,,279,7
charge_unreachable,0,,,,279,9
charge_unreachable,0,,,,280,0
charge_unreachable,0,,,,280,1
charge_unreachable,0,,,,280,2
charge_unreachable,0,,,,280,4
charge_unreachable,0,,,,280,5
charge_unreachable,0,,,,280,6
charge_unreachable,0,,,,280,7
charge_unreachable,0,,,,280,9
charge_unreachable,0,,,,281,0
charge_unreachable,0,,,,281,1
charge_unreachable,0,,,,281,2
charge_unreachable,0,,,,281,4
charge_unreachable,0,,,,281,5
charge_unreachable,0,,,,281,6
charge_unreachable,0,,,,281,7
charge_unreachable,0,,,,281,9
charge_unreachable,0,,,,282,0
charge_unreachable,0,,,,282,1
charge_unreachable,0,,,,282,2
charge_unreachable,0,,,,282,4
charge_unreachable,0,,,,282,5
charge_unreachable,0,,,,282,6
charge_unreachable,0,,,,282,7
charge_unreachable,0,,,,282,9
task_released,,,,39,283,
charge_unreachable,0,,,,283,0
charge_unreachable,0,,,,283,1
charge_unreachable,0,,,,283,2
charge_unreachable,0,,,,283,4
charge_unreachable,0,,,,283,5
charge_unreachable,0,,,,283,6
charge_unreachable,0,,,,283,7
charge_unreachable,0,,,,283,9
charge_unreachable,0,,,,284,0
charge_unreachable,0,,,,284,1
charge_unreachable,0,,,,284,2
charge_unreachable,0,,,,284,4
charge_unreachable,0,,,,284,5
charge_unreachable,0,,,,284,6
charge_unreachable,0,,,,284,7
vehicle_became_idle,,reach_depot,,,284,8
charge_unreachable,0,,,,284,9
charge_unreachable,0,,,,285,0
charge_unreachable,0,,,,285,1
charge_unreachable,0,,,,285,2
charge_unreachable,0,,,,285,4
charge_unreachable,0,,,,285,5
charge_unreachable,0,,,,285,6
charge_unreachable,0,,,,285,7
charge_unreachable,0,,,,285,9
charge_unreachable,0,,,,286,0
charge_unreachable,0,,,,286,1
charge_unreachable,0,,,,286,2
task_completed,,,,25,286,
charge_unreachable,0,,,,286,4
charge_unreachable,0,,,,286,5
charge_unreachable,0,,,,286,6
charge_unreachable,0,,,,286,7
charge_unreachable,0,,,,286,9
charge_unreachable,0,,,,287,0
charge_unreachable,0,,,,287,1
charge_unreachable,0,,,,287,2
charge_unreachable,0,,,,287,4
charge_unreachable,0,,,,287,5
charge_unreachable,0,,,,287,6
charge_unreachable,0,,,,287,7
charge_unreachable,0,,,,287,9
task_released,,,,15,288,
task_released,,,,86,288,
charge_unreachable,0,,,,288,0
charge_unreachable,0,,,,288,1
charge_unreachable,0,,,,288,2
charge_unreachable,0,,,,288,4
charge_unreachable,0,,,,288,5
charge_unreachable,0,,,,288,6
charge_unreachable,0,,,,288,7
charge_unreachable,0,,,,288,9
charge_unreachable,0,,,,289,0
charge_unreachable,0,,,,289,1
charge_unreachable,0,,,,289,2
charge_unreachable,0,,,,289,4
charge_unreachable,0,,,,289,5
charge_unreachable,0,,,,289,6
charge_unreachable,0,,,,289,7
charge_unreachable,0,,,,289,9
charge_unreachable,0,,,,290,0
charge_unreachable,0,,,,290,1
charge_unreachable,0,,,,290,2
charge_unreachable,0,,,,290,4
charge_unreachable,0,,,,290,5
charge_unreachable,0,,,,290,6
charge_unreachable,0,,,,290,7
vehicle_reached_station,,,2,,290,8
charge_unreachable,0,,,,290,9
charge_unreachable,0,,,,291,0
charge_unreachable,0,,,,291,1
charge_unreachable,0,,,,291,2
charge_unreachable,0,,,,291,4
charge_unreachable,0,,,,291,5
charge_unreachable,0,,,,291,6
charge_unreachable,0,,,,291,7
charge_unreachable,0,,,,291,9
charge_unreachable,0,,,,292,0
charge_unreachable,0,,,,292,1
charge_unreachable,0,,,,292,2
charge_unreachable,0,,,,292,4
charge_unreachable,0,,,,292,5
charge_unreachable,0,,,,292,6
charge_unreachable,0,,,,292,7
charge_unreachable,0,,,,292,9
charge_unreachable,0,,,,293,0
charge_unreachable,0,,,,293,1
charge_unreachable,0,,,,293,2
