episode,seed,scale_index,scale,epsilon,total_reward,steps,final_score,completed_tasks,expired_tasks,eval_score_mean,eval_reward_mean,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
17.0,24.0,0.0,small,0.183663293670873,1924.3085188480804,62.0,1662.2530924149867,20.0,5.0,2536.688297304411,3022.6859260071055,29.0,6.0,16.0,2.0,6.0,0.0,1.0,2.0
18.0,25.0,0.0,small,0.18274497720251864,2884.848510210605,73.0,2417.743863027498,27.0,0.0,2390.118127459599,2847.1074859072028,39.0,11.0,16.0,0.0,5.0,0.0,1.0,1.0
19.0,26.0,0.0,small,0.18183125231650604,2799.3537435432736,71.0,2351.7274848231373,26.0,0.0,2229.6092938287707,2653.9589558795087,23.0,11.0,13.0,16.0,1.0,2.0,0.0,5.0
20.0,27.0,0.0,small,0.18092209605492351,2645.4888241547083,65.0,2222.6933606112107,25.0,1.0,2330.773342921443,2773.2983824365733,25.0,8.0,11.0,14.0,3.0,2.0,1.0,1.0
21.0,28.0,0.0,small,0.1800174855746489,3155.312963155937,78.0,2649.6790577319302,29.0,0.0,2505.1907040970545,2987.239820683154,24.0,21.0,20.0,3.0,6.0,3.0,1.0,0.0
22.0,29.0,0.0,small,0.17911739814677563,2950.6264364151743,75.0,2473.780140491556,27.0,0.0,2291.2262378808637,2728.937805511362,24.0,9.0,22.0,3.0,7.0,2.0,6.0,2.0
23.0,30.0,0.0,small,0.17822181115604174,2421.7940426825935,62.0,2045.2503424477882,23.0,2.0,2247.6241356178352,2672.035126919802,15.0,10.0,14.0,16.0,4.0,0.0,1.0,2.0
24.0,31.0,0.0,small,0.17733070210026153,2472.6663750241746,63.0,2078.666172448239,23.0,1.0,2199.6246284622694,2608.4123077215395,13.0,16.0,18.0,6.0,6.0,3.0,0.0,1.0
25.0,32.0,0.0,small,0.17644404858976023,1970.024841267727,57.0,1688.028820051206,20.0,3.0,2424.8140045619316,2888.8493056740863,30.0,11.0,8.0,0.0,4.0,1.0,2.0,1.0
26.0,33.0,0.0,small,0.17556182834681144,2967.0742031432237,69.0,2499.7548329796064,28.0,1.0,2408.210550520608,2867.8778698764154,36.0,9.0,13.0,0.0,8.0,0.0,1.0,2.0
27.0,34.0,0.0,small,0.1746840192050774,3221.2790058227206,77.0,2697.8361796317004,30.0,0.0,2113.6566534648573,2503.107794473005,36.0,3.0,14.0,3.0,12.0,5.0,2.0,2.0
28.0,35.0,0.0,small,0.173810599109052,2795.489344989828,70.0,2351.6453519801325,26.0,1.0,2263.1807965216194,2681.176738820068,28.0,10.0,13.0,3.0,9.0,3.0,2.0,2.0
29.0,36.0,0.0,small,0.17294154611350673,2447.23002065009,65.0,2054.128327046928,23.0,0.0,2380.235700335856,2829.356736177044,20.0,18.0,9.0,8.0,6.0,2.0,0.0,2.0
