charging_slots,node_id,occupied_piles,queue_length,station_id,time,waiting_vehicles
"[None, None, None]",126,0,0,5,37,[]
"[None, None, None]",127,0,0,6,37,[]
"[None, None, None]",128,0,0,7,37,[]
"[None, None, None]",121,0,0,0,38,[]
"[None, None, None]",122,0,0,1,38,[]
"[None, None, None]",123,0,0,2,38,[]
"[None, None, None]",124,0,0,3,38,[]
"[None, None, None]",125,0,0,4,38,[]
"[None, None, None]",126,0,0,5,38,[]
"[None, None, None]",127,0,0,6,38,[]
"[None, None, None]",128,0,0,7,38,[]
"[None, None, None]",121,0,0,0,39,[]
"[None, None, None]",122,0,0,1,39,[]
"[None, None, None]",123,0,0,2,39,[]
"[None, None, None]",124,0,0,3,39,[]
"[None, None, None]",125,0,0,4,39,[]
"[None, None, None]",126,0,0,5,39,[]
"[None, None, None]",127,0,0,6,39,[]
"[None, None, None]",128,0,0,7,39,[]
"[None, None, None]",121,0,0,0,40,[]
"[None, None, None]",122,0,0,1,40,[]
"[None, None, None]",123,0,0,2,40,[]
"[None, None, None]",124,0,0,3,40,[]
"[None, None, None]",125,0,0,4,40,[]
"[None, None, None]",126,0,0,5,40,[]
"[None, None, None]",127,0,0,6,40,[]
"[None, None, None]",128,0,0,7,40,[]
"[None, None, None]",121,0,0,0,41,[]
"[None, None, None]",122,0,0,1,41,[]
"[None, None, None]",123,0,0,2,41,[]
"[None, None, None]",124,0,0,3,41,[]
"[None, None, None]",125,0,0,4,41,[]
"[None, None, None]",126,0,0,5,41,[]
"[None, None, None]",127,0,0,6,41,[]
"[None, None, None]",128,0,0,7,41,[]
"[None, None, None]",121,0,0,0,42,[]
"[None, None, None]",122,0,0,1,42,[]
"[None, None, None]",123,0,0,2,42,[]
"[None, None, None]",124,0,0,3,42,[]
"[None, None, None]",125,0,0,4,42,[]
"[None, None, None]",126,0,0,5,42,[]
"[None, None, None]",127,0,0,6,42,[]
"[None, None, None]",128,0,0,7,42,[]
"[None, None, None]",121,0,0,0,43,[]
"[None, None, None]",122,0,0,1,43,[]
"[None, None, None]",123,0,0,2,43,[]
"[None, None, None]",124,0,0,3,43,[]
"[None, None, None]",125,0,0,4,43,[]
"[None, None, None]",126,0,0,5,43,[]
"[None, None, None]",127,0,0,6,43,[]
"[None, None, None]",128,0,0,7,43,[]
"[None, None, None]",121,0,0,0,44,[]
"[None, None, None]",122,0,0,1,44,[]
"[None, None, None]",123,0,0,2,44,[]
"[None, None, None]",124,0,0,3,44,[]
"[None, None, None]",125,0,0,4,44,[]
"[None, None, None]",126,0,0,5,44,[]
"[None, None, None]",127,0,0,6,44,[]
"[None, None, None]",128,0,0,7,44,[]
"[None, None, None]",121,0,0,0,45,[]
"[None, None, None]",122,0,0,1,45,[]
"[None, None, None]",123,0,0,2,45,[]
"[None, None, None]",124,0,0,3,45,[]
"[None, None, None]",125,0,0,4,45,[]
"[None, None, None]",126,0,0,5,45,[]
"[None, None, None]",127,0,0,6,45,[]
"[None, None, None]",128,0,0,7,45,[]
"[None, None, None]",121,0,0,0,46,[]
"[None, None, None]",122,0,0,1,46,[]
"[None, None, None]",123,0,0,2,46,[]
"[None, None, None]",124,0,0,3,46,[]
"[None, None, None]",125,0,0,4,46,[]
"[None, None, None]",126,0,0,5,46,[]
"[None, None, None]",127,0,0,6,46,[]
"[None, None, None]",128,0,0,7,46,[]
"[None, None, None]",121,0,0,0,47,[]
"[None, None, None]",122,0,0,1,47,[]
"[None, None, None]",123,0,0,2,47,[]
"[None, None, None]",124,0,0,3,47,[]
"[None, None, None]",125,0,0,4,47,[]
"[None, None, None]",126,0,0,5,47,[]
"[None, None, None]",127,0,0,6,47,[]
"[None, None, None]",128,0,0,7,47,[]
"[None, None, None]",121,0,0,0,48,[]
"[None, None, None]",122,0,0,1,48,[]
"[None, None, None]",123,0,0,2,48,[]
"[None, None, None]",124,0,0,3,48,[]
"[None, None, None]",125,0,0,4,48,[]
"[None, None, None]",126,0,0,5,48,[]
"[None, None, None]",127,0,0,6,48,[]
"[None, None, None]",128,0,0,7,48,[]
"[None, None, None]",121,0,0,0,49,[]
"[None, None, None]",122,0,0,1,49,[]
"[None, None, None]",123,0,0,2,49,[]
"[None, None, None]",124,0,0,3,49,[]
"[None, None, None]",125,0,0,4,49,[]
"[None, None, None]",126,0,0,5,49,[]
"[None, None, None]",127,0,0,6,49,[]
"[None, None, None]",128,0,0,7,49,[]
"[None, None, None]",121,0,0,0,50,[]
"[None, None, None]",122,0,0,1,50,[]
"[None, None, None]",123,0,0,2,50,[]
"[None, None, None]",124,0,0,3,50,[]
"[None, None, None]",125,0,0,4,50,[]
"[None, None, None]",126,0,0,5,50,[]
"[None, None, None]",127,0,0,6,50,[]
"[None, None, None]",128,0,0,7,50,[]
"[None, None, None]",121,0,0,0,51,[]
"[None, None, None]",122,0,0,1,51,[]
"[None, None, None]",123,0,0,2,51,[]
"[None, None, None]",124,0,0,3,51,[]
"[None, None, None]",125,0,0,4,51,[]
"[None, None, None]",126,0,0,5,51,[]
"[None, None, None]",127,0,0,6,51,[]
"[None, None, None]",128,0,0,7,51,[]
"[None, None, None]",121,0,0,0,52,[]
"[None, None, None]",122,0,0,1,52,[]
"[None, None, None]",123,0,0,2,52,[]
"[None, None, None]",124,0,0,3,52,[]
"[None, None, None]",125,0,0,4,52,[]
"[None, None, None]",126,0,0,5,52,[]
"[None, None, None]",127,0,0,6,52,[]
"[None, None, None]",128,0,0,7,52,[]
"[None, None, None]",121,0,0,0,53,[]
"[None, None, None]",122,0,0,1,53,[]
"[None, None, None]",123,0,0,2,53,[]
"[None, None, None]",124,0,0,3,53,[]
"[None, None, None]",125,0,0,4,53,[]
"[None, None, None]",126,0,0,5,53,[]
"[None, None, None]",127,0,0,6,53,[]
"[None, None, None]",128,0,0,7,53,[]
"[None, None, None]",121,0,0,0,54,[]
"[None, None, None]",122,0,0,1,54,[]
