event_type,node,reason,station_id,task_id,time,vehicle_id
charge_unreachable,0,,,,418,10
charge_unreachable,0,,,,418,12
charge_unreachable,0,,,,418,13
vehicle_became_idle,,reach_depot,,,418,14
charge_unreachable,0,,,,419,0
charge_unreachable,0,,,,419,1
charge_unreachable,0,,,,419,2
charge_unreachable,0,,,,419,3
task_completed,,,,91,419,
charge_unreachable,0,,,,419,7
charge_unreachable,0,,,,419,8
charge_unreachable,0,,,,419,10
charge_unreachable,0,,,,419,12
charge_unreachable,0,,,,419,13
charge_unreachable,0,,,,420,0
charge_unreachable,0,,,,420,1
charge_unreachable,0,,,,420,2
charge_unreachable,0,,,,420,3
charge_unreachable,0,,,,420,7
charge_unreachable,0,,,,420,8
charge_unreachable,0,,,,420,10
charge_unreachable,0,,,,420,12
charge_unreachable,0,,,,420,13
vehicle_reached_station,,,5,,420,14
charge_unreachable,0,,,,421,0
charge_unreachable,0,,,,421,1
charge_unreachable,0,,,,421,2
charge_unreachable,0,,,,421,3
charge_unreachable,0,,,,421,7
charge_unreachable,0,,,,421,8
charge_unreachable,0,,,,421,10
charge_unreachable,0,,,,421,12
charge_unreachable,0,,,,421,13
task_released,,,,271,422,
charge_unreachable,0,,,,422,0
charge_unreachable,0,,,,422,1
charge_unreachable,0,,,,422,2
charge_unreachable,0,,,,422,3
charge_unreachable,0,,,,422,7
charge_unreachable,0,,,,422,8
charge_unreachable,0,,,,422,10
charge_unreachable,0,,,,422,12
charge_unreachable,0,,,,422,13
task_released,,,,122,423,
task_released,,,,164,423,
charge_unreachable,0,,,,423,0
charge_unreachable,0,,,,423,1
charge_unreachable,0,,,,423,2
charge_unreachable,0,,,,423,3
charge_unreachable,0,,,,423,7
charge_unreachable,0,,,,423,8
charge_unreachable,0,,,,423,10
charge_unreachable,0,,,,423,12
charge_unreachable,0,,,,423,13
task_released,,,,10,424,
task_released,,,,260,424,
charge_unreachable,0,,,,424,0
charge_unreachable,0,,,,424,1
charge_unreachable,0,,,,424,2
charge_unreachable,0,,,,424,3
charge_unreachable,0,,,,424,7
charge_unreachable,0,,,,424,8
charge_unreachable,0,,,,424,10
charge_unreachable,0,,,,424,12
charge_unreachable,0,,,,424,13
task_released,,,,287,425,
charge_unreachable,0,,,,425,0
charge_unreachable,0,,,,425,1
charge_unreachable,0,,,,425,2
charge_unreachable,0,,,,425,3
charge_unreachable,0,,,,425,7
charge_unreachable,0,,,,425,8
charge_unreachable,0,,,,425,10
vehicle_became_idle,,reach_depot,,,425,11
charge_unreachable,0,,,,425,12
charge_unreachable,0,,,,425,13
charge_unreachable,0,,,,426,0
charge_unreachable,0,,,,426,1
charge_unreachable,0,,,,426,2
charge_unreachable,0,,,,426,3
charge_unreachable,0,,,,426,7
charge_unreachable,0,,,,426,8
charge_unreachable,0,,,,426,10
charge_unreachable,0,,,,426,12
charge_unreachable,0,,,,426,13
charge_unreachable,0,,,,427,0
charge_unreachable,0,,,,427,1
charge_unreachable,0,,,,427,2
charge_unreachable,0,,,,427,3
charge_unreachable,0,,,,427,7
charge_unreachable,0,,,,427,8
charge_unreachable,0,,,,427,10
vehicle_reached_station,,,5,,427,11
charge_unreachable,0,,,,427,12
charge_unreachable,0,,,,427,13
task_released,,,,31,428,
task_released,,,,114,428,
charge_unreachable,0,,,,428,0
charge_unreachable,0,,,,428,1
charge_unreachable,0,,,,428,2
charge_unreachable,0,,,,428,3
vehicle_became_idle,,reach_depot,,,428,5
charge_unreachable,0,,,,428,7
charge_unreachable,0,,,,428,8
charge_unreachable,0,,,,428,10
charge_unreachable,0,,,,428,12
charge_unreachable,0,,,,428,13
task_released,,,,228,429,
charge_unreachable,0,,,,429,0
charge_unreachable,0,,,,429,1
charge_unreachable,0,,,,429,2
charge_unreachable,0,,,,429,3
charge_unreachable,0,,,,429,7
charge_unreachable,0,,,,429,8
charge_unreachable,0,,,,429,10
charge_unreachable,0,,,,429,12
charge_unreachable,0,,,,429,13
charge_unreachable,0,,,,430,0
charge_unreachable,0,,,,430,1
charge_unreachable,0,,,,430,2
charge_unreachable,0,,,,430,3
vehicle_reached_station,,,5,,430,5
charge_unreachable,0,,,,430,7
charge_unreachable,0,,,,430,8
charge_unreachable,0,,,,430,10
charge_unreachable,0,,,,430,12
charge_unreachable,0,,,,430,13
task_released,,,,69,431,
charge_unreachable,0,,,,431,0
charge_unreachable,0,,,,431,1
charge_unreachable,0,,,,431,2
charge_unreachable,0,,,,431,3
charge_unreachable,0,,,,431,7
charge_unreachable,0,,,,431,8
charge_unreachable,0,,,,431,10
charge_unreachable,0,,,,431,12
charge_unreachable,0,,,,431,13
charge_unreachable,0,,,,432,0
charge_unreachable,0,,,,432,1
charge_unreachable,0,,,,432,2
charge_unreachable,0,,,,432,3
charge_unreachable,0,,,,432,7
charge_unreachable,0,,,,432,8
charge_unreachable,0,,,,432,10
charge_unreachable,0,,,,432,12
charge_unreachable,0,,,,432,13
task_released,,,,66,433,
charge_unreachable,0,,,,433,0
charge_unreachable,0,,,,433,1
charge_unreachable,0,,,,433,2
charge_unreachable,0,,,,433,3
charge_unreachable,0,,,,433,7
charge_unreachable,0,,,,433,8
charge_unreachable,0,,,,433,10
charge_unreachable,0,,,,433,12
charge_unreachable,0,,,,433,13
charge_unreachable,0,,,,434,0
charge_unreachable,0,,,,434,1
charge_unreachable,0,,,,434,2
charge_unreachable,0,,,,434,3
charge_unreachable,0,,,,434,7
charge_unreachable,0,,,,434,8
charge_unreachable,0,,,,434,10
charge_unreachable,0,,,,434,12
charge_unreachable,0,,,,434,13
vehicle_finished_charging,,,5,,434,6
charge_unreachable,0,,,,435,0
charge_unreachable,0,,,,435,1
charge_unreachable,0,,,,435,2
charge_unreachable,0,,,,435,3
charge_unreachable,0,,,,435,7
charge_unreachable,0,,,,435,8
charge_unreachable,0,,,,435,10
charge_unreachable,0,,,,435,12
charge_unreachable,0,,,,435,13
charge_unreachable,0,,,,436,0
charge_unreachable,0,,,,436,1
charge_unreachable,0,,,,436,2
charge_unreachable,0,,,,436,3
charge_unreachable,0,,,,436,7
charge_unreachable,0,,,,436,8
charge_unreachable,0,,,,436,10
charge_unreachable,0,,,,436,12
charge_unreachable,0,,,,436,13
task_released,,,,17,437,
charge_unreachable,0,,,,437,0
charge_unreachable,0,,,,437,1
charge_unreachable,0,,,,437,2
charge_unreachable,0,,,,437,3
charge_unreachable,0,,,,437,7
charge_unreachable,0,,,,437,8
charge_unreachable,0,,,,437,10
charge_unreachable,0,,,,437,12
charge_unreachable,0,,,,437,13
vehicle_finished_charging,,,5,,437,14
charge_unreachable,0,,,,438,0
charge_unreachable,0,,,,438,1
charge_unreachable,0,,,,438,2
charge_unreachable,0,,,,438,3
charge_unreachable,0,,,,438,7
charge_unreachable,0,,,,438,8
charge_unreachable,0,,,,438,10
charge_unreachable,0,,,,438,12
charge_unreachable,0,,,,438,13
charge_unreachable,0,,,,439,0
charge_unreachable,0,,,,439,1
charge_unreachable,0,,,,439,2
charge_unreachable,0,,,,439,3
charge_unreachable,0,,,,439,7
charge_unreachable,0,,,,439,8
charge_unreachable,0,,,,439,10
charge_unreachable,0,,,,439,12
charge_unreachable,0,,,,439,13
charge_unreachable,0,,,,440,0
charge_unreachable,0,,,,440,1
charge_unreachable,0,,,,440,2
charge_unreachable,0,,,,440,3
charge_unreachable,0,,,,440,7
charge_unreachable,0,,,,440,8
charge_unreachable,0,,,,440,10
charge_unreachable,0,,,,440,12
charge_unreachable,0,,,,440,13
charge_unreachable,0,,,,441,0
charge_unreachable,0,,,,441,1
charge_unreachable,0,,,,441,2
charge_unreachable,0,,,,441,3
charge_unreachable,0,,,,441,7
charge_unreachable,0,,,,441,8
charge_unreachable,0,,,,441,10
charge_unreachable,0,,,,441,12
charge_unreachable,0,,,,441,13
charge_unreachable,0,,,,442,0
charge_unreachable,0,,,,442,1
charge_unreachable,0,,,,442,2
charge_unreachable,0,,,,442,3
charge_unreachable,0,,,,442,7
charge_unreachable,0,,,,442,8
charge_unreachable,0,,,,442,10
charge_unreachable,0,,,,442,12
charge_unreachable,0,,,,442,13
charge_unreachable,0,,,,443,0
charge_unreachable,0,,,,443,1
charge_unreachable,0,,,,443,2
charge_unreachable,0,,,,443,3
charge_unreachable,0,,,,443,7
charge_unreachable,0,,,,443,8
charge_unreachable,0,,,,443,10
charge_unreachable,0,,,,443,12
charge_unreachable,0,,,,443,13
charge_unreachable,0,,,,444,0
charge_unreachable,0,,,,444,1
charge_unreachable,0,,,,444,2
charge_unreachable,0,,,,444,3
charge_unreachable,0,,,,444,7
charge_unreachable,0,,,,444,8
charge_unreachable,0,,,,444,10
charge_unreachable,0,,,,444,12
charge_unreachable,0,,,,444,13
task_released,,,,295,445,
charge_unreachable,0,,,,445,0
charge_unreachable,0,,,,445,1
charge_unreachable,0,,,,445,2
charge_unreachable,0,,,,445,3
charge_unreachable,0,,,,445,7
charge_unreachable,0,,,,445,8
charge_unreachable,0,,,,445,10
charge_unreachable,0,,,,445,12
charge_unreachable,0,,,,445,13
task_completed,,,,66,445,
vehicle_finished_charging,,,5,,445,11
charge_unreachable,0,,,,446,0
charge_unreachable,0,,,,446,1
charge_unreachable,0,,,,446,2
charge_unreachable,0,,,,446,3
charge_unreachable,0,,,,446,7
charge_unreachable,0,,,,446,8
charge_unreachable,0,,,,446,10
charge_unreachable,0,,,,446,12
charge_unreachable,0,,,,446,13
charge_unreachable,0,,,,447,0
charge_unreachable,0,,,,447,1
charge_unreachable,0,,,,447,2
charge_unreachable,0,,,,447,3
charge_unreachable,0,,,,447,7
charge_unreachable,0,,,,447,8
charge_unreachable,0,,,,447,10
charge_unreachable,0,,,,447,12
charge_unreachable,0,,,,447,13
charge_unreachable,0,,,,448,0
charge_unreachable,0,,,,448,1
charge_unreachable,0,,,,448,2
charge_unreachable,0,,,,448,3
charge_unreachable,0,,,,448,7
charge_unreachable,0,,,,448,8
charge_unreachable,0,,,,448,10
charge_unreachable,0,,,,448,12
charge_unreachable,0,,,,448,13
charge_unreachable,0,,,,449,0
charge_unreachable,0,,,,449,1
charge_unreachable,0,,,,449,2
charge_unreachable,0,,,,449,3
charge_unreachable,0,,,,449,7
charge_unreachable,0,,,,449,8
charge_unreachable,0,,,,449,10
charge_unreachable,0,,,,449,12
charge_unreachable,0,,,,449,13
charge_unreachable,0,,,,450,0
charge_unreachable,0,,,,450,1
charge_unreachable,0,,,,450,2
charge_unreachable,0,,,,450,3
charge_unreachable,0,,,,450,7
charge_unreachable,0,,,,450,8
charge_unreachable,0,,,,450,10
charge_unreachable,0,,,,450,12
charge_unreachable,0,,,,450,13
charge_unreachable,0,,,,451,0
charge_unreachable,0,,,,451,1
charge_unreachable,0,,,,451,2
charge_unreachable,0,,,,451,3
charge_unreachable,0,,,,451,7
charge_unreachable,0,,,,451,8
charge_unreachable,0,,,,451,10
charge_unreachable,0,,,,451,12
charge_unreachable,0,,,,451,13
charge_unreachable,0,,,,452,0
charge_unreachable,0,,,,452,1
charge_unreachable,0,,,,452,2
charge_unreachable,0,,,,452,3
charge_unreachable,0,,,,452,7
charge_unreachable,0,,,,452,8
charge_unreachable,0,,,,452,10
charge_unreachable,0,,,,452,12
charge_unreachable,0,,,,452,13
vehicle_finished_charging,,,5,,452,5
task_released,,,,172,453,
task_released,,,,206,453,
charge_unreachable,0,,,,453,0
charge_unreachable,0,,,,453,1
charge_unreachable,0,,,,453,2
charge_unreachable,0,,,,453,3
charge_unreachable,0,,,,453,7
charge_unreachable,0,,,,453,8
charge_unreachable,0,,,,453,10
