episode,seed,scale_index,scale,epsilon,total_reward,steps,final_score,completed_tasks,expired_tasks,eval_score_mean,eval_reward_mean,action_0_count,action_1_count,action_2_count,action_3_count
13.0,20.0,0.0,medium,0.18738293857596075,2890.9593069076946,101.0,2608.83157492499,31.0,12.0,3042.8432057937634,3390.204112334242,20.0,9.0,22.0,50.0
14.0,21.0,0.0,medium,0.18644602388308096,3255.268524163786,103.0,2920.3324577436138,35.0,14.0,2541.9216834635445,2800.4168158687535,14.0,20.0,41.0,28.0
15.0,22.0,0.0,medium,0.18551379376366556,3688.7684311644507,97.0,3251.0315069762787,37.0,8.0,3128.554493256668,3500.443765565112,4.0,16.0,19.0,58.0
16.0,23.0,0.0,medium,0.18458622479484724,3610.9792218415982,96.0,3276.9760062312425,39.0,14.0,2661.661523306024,2898.970526939792,3.0,26.0,42.0,25.0
17.0,24.0,0.0,medium,0.183663293670873,3543.1786394466053,102.0,3203.030084003727,38.0,14.0,3090.637636265334,3501.2152088072517,24.0,5.0,11.0,62.0
18.0,25.0,0.0,medium,0.18274497720251864,4295.817961119051,106.0,3775.891998085927,43.0,9.0,3197.0948783740437,3578.892893390235,6.0,23.0,14.0,63.0
19.0,26.0,0.0,medium,0.18183125231650604,1781.875833473894,83.0,1766.4819813931547,25.0,25.0,3009.4959852214083,3400.4663247740828,19.0,13.0,21.0,30.0
20.0,27.0,0.0,medium,0.18092209605492351,2497.8809916143036,86.0,2320.8179963905445,29.0,17.0,3414.5552180343147,3876.1392595439866,9.0,8.0,23.0,46.0
21.0,28.0,0.0,medium,0.1800174855746489,2326.342413912385,93.0,2177.8420682847286,28.0,19.0,2933.751539732505,3233.6241296664966,4.0,9.0,15.0,65.0
22.0,29.0,0.0,medium,0.17911739814677563,2940.6891632112406,106.0,2743.900503337516,34.0,19.0,2657.4656818197154,2977.2939058390534,19.0,2.0,29.0,56.0
23.0,30.0,0.0,medium,0.17822181115604174,2577.581994202392,90.0,2344.1881828370006,28.0,10.0,2978.4722103316067,3354.2351836852945,8.0,20.0,35.0,27.0
24.0,31.0,0.0,medium,0.17733070210026153,3045.2329860419954,105.0,2887.0072814175996,36.0,20.0,2406.114979926727,2610.559745831256,28.0,11.0,17.0,49.0
25.0,32.0,0.0,medium,0.17644404858976023,1739.8834750304818,86.0,1733.595400456199,24.0,21.0,3106.7421700568166,3442.880922780938,5.0,4.0,23.0,54.0
26.0,33.0,0.0,medium,0.17556182834681144,3796.4110785990956,100.0,3344.210374907026,38.0,9.0,2793.37208419174,3095.483258406944,13.0,4.0,33.0,50.0
27.0,34.0,0.0,medium,0.1746840192050774,3802.247889779982,89.0,3262.456260668672,36.0,2.0,2739.288110266939,3012.1038220598034,11.0,6.0,20.0,52.0
28.0,35.0,0.0,medium,0.173810599109052,4046.8864099628577,103.0,3535.099273523645,40.0,7.0,2858.844392854732,3167.088178790045,16.0,11.0,29.0,47.0
29.0,36.0,0.0,medium,0.17294154611350673,3524.6014127140124,93.0,3102.738508258146,36.0,9.0,3165.5526064670103,3541.2050149869856,9.0,23.0,9.0,52.0
30.0,37.0,0.0,medium,0.1720768383829392,4114.214047620999,102.0,3586.8421880092687,41.0,9.0,2562.2301352046825,2818.552326602453,19.0,20.0,11.0,52.0
31.0,38.0,0.0,medium,0.1712164541910245,3139.4027348252107,97.0,2788.6462860896077,33.0,12.0,3198.0034967325632,3568.917416259463,12.0,3.0,27.0,55.0
32.0,39.0,0.0,medium,0.17036037192006936,3502.4848837260547,104.0,3114.964920575262,36.0,8.0,2704.345181805549,3026.1891512634843,4.0,14.0,41.0,45.0
33.0,40.0,0.0,medium,0.16950857006046902,2712.5212180225417,76.0,2410.4202676152154,29.0,12.0,2980.0813076486997,3354.306014604345,4.0,6.0,41.0,25.0
34.0,41.0,0.0,medium,0.16866102721016668,2719.2538684470646,102.0,2526.088425704122,32.0,21.0,3170.919338879667,3575.396166535828,27.0,17.0,36.0,22.0
35.0,42.0,0.0,medium,0.16781772207411585,2855.6776871912875,89.0,2568.107346048306,31.0,13.0,2526.571911325264,2746.9844168072655,11.0,32.0,22.0,24.0
