episode,seed,scale_index,scale,epsilon,total_reward,steps,final_score,completed_tasks,expired_tasks,eval_score_mean,eval_reward_mean,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
15.0,22.0,0.0,medium,0.18551379376366556,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
16.0,23.0,0.0,medium,0.18458622479484724,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
17.0,24.0,0.0,medium,0.183663293670873,3287.2178043669355,95.0,2908.5801415927067,34.0,8.0,2904.659901707912,3265.620609472701,11.0,20.0,38.0,20.0,6.0,0.0
18.0,25.0,0.0,medium,0.18274497720251864,3058.106993017328,96.0,2710.254592972308,32.0,9.0,2724.1218032541738,3074.8875820755843,8.0,29.0,32.0,20.0,7.0,0.0
19.0,26.0,0.0,medium,0.18183125231650604,3077.1801243845975,96.0,2720.4878286589583,32.0,8.0,2724.1218032541738,3074.8875820755843,8.0,44.0,16.0,20.0,8.0,0.0
20.0,27.0,0.0,medium,0.18092209605492351,3077.1801243845975,96.0,2720.4878286589583,32.0,8.0,2724.1218032541738,3074.8875820755843,7.0,45.0,16.0,20.0,8.0,0.0
21.0,28.0,0.0,medium,0.1800174855746489,3077.1801243845975,96.0,2720.4878286589583,32.0,8.0,2724.1218032541738,3074.8875820755843,7.0,45.0,16.0,20.0,8.0,0.0
22.0,29.0,0.0,medium,0.17911739814677563,3077.1801243845975,96.0,2720.4878286589583,32.0,8.0,2724.1218032541738,3074.8875820755843,7.0,45.0,16.0,20.0,8.0,0.0
23.0,30.0,0.0,medium,0.17822181115604174,3077.1801243845975,96.0,2720.4878286589583,32.0,8.0,2724.1218032541738,3074.8875820755843,8.0,45.0,16.0,20.0,7.0,0.0
24.0,31.0,0.0,medium,0.17733070210026153,3077.1801243845975,96.0,2720.4878286589583,32.0,8.0,2724.1218032541738,3074.8875820755843,11.0,45.0,16.0,20.0,4.0,0.0
25.0,32.0,0.0,medium,0.17644404858976023,3077.1801243845975,96.0,2720.4878286589583,32.0,8.0,2724.1218032541738,3074.8875820755843,14.0,45.0,16.0,20.0,1.0,0.0
26.0,33.0,0.0,medium,0.17556182834681144,3077.1801243845975,96.0,2720.4878286589583,32.0,8.0,2724.1218032541738,3074.8875820755843,14.0,45.0,16.0,20.0,1.0,0.0
27.0,34.0,0.0,medium,0.1746840192050774,3077.1801243845975,96.0,2720.4878286589583,32.0,8.0,2724.1218032541738,3074.8875820755843,14.0,45.0,16.0,20.0,1.0,0.0
28.0,35.0,0.0,medium,0.173810599109052,3077.1801243845975,96.0,2720.4878286589583,32.0,8.0,2724.1218032541738,3074.8875820755843,14.0,45.0,16.0,20.0,1.0,0.0
29.0,36.0,0.0,medium,0.17294154611350673,3062.6475947838094,96.0,2724.1218032541738,32.0,8.0,2724.1218032541738,3074.8875820755843,14.0,44.0,17.0,20.0,0.0,1.0
30.0,37.0,0.0,medium,0.1720768383829392,3062.6475947838094,96.0,2724.1218032541738,32.0,8.0,2724.1218032541738,3074.8875820755843,14.0,44.0,17.0,20.0,0.0,1.0
31.0,38.0,0.0,medium,0.1712164541910245,3062.6475947838094,96.0,2724.1218032541738,32.0,8.0,2724.1218032541738,3074.8875820755843,14.0,44.0,17.0,20.0,0.0,1.0
