charging_slots,node_id,occupied_piles,queue_length,station_id,time,waiting_vehicles
"[None, None]",61,0,0,0,73,[]
"[None, None]",62,0,0,1,73,[]
"[None, None]",63,0,0,2,73,[]
"[None, None]",64,0,0,3,73,[]
"[None, None]",61,0,0,0,74,[]
"[None, None]",62,0,0,1,74,[]
"[None, None]",63,0,0,2,74,[]
"[None, None]",64,0,0,3,74,[]
"[None, None]",61,0,0,0,75,[]
"[None, None]",62,0,0,1,75,[]
"[None, None]",63,0,0,2,75,[]
"[None, None]",64,0,0,3,75,[]
"[0, None]",61,1,0,0,76,[]
"[None, None]",62,0,0,1,76,[]
"[None, None]",63,0,0,2,76,[]
"[None, None]",64,0,0,3,76,[]
"[0, 1]",61,2,1,0,77,[2]
"[None, None]",62,0,0,1,77,[]
"[None, None]",63,0,0,2,77,[]
"[None, None]",64,0,0,3,77,[]
"[0, 1]",61,2,2,0,78,"[2, 3]"
"[None, None]",62,0,0,1,78,[]
"[None, None]",63,0,0,2,78,[]
"[None, None]",64,0,0,3,78,[]
"[0, 1]",61,2,2,0,79,"[2, 3]"
"[None, None]",62,0,0,1,79,[]
"[None, None]",63,0,0,2,79,[]
"[None, None]",64,0,0,3,79,[]
"[0, 1]",61,2,2,0,80,"[2, 3]"
"[None, None]",62,0,0,1,80,[]
"[None, None]",63,0,0,2,80,[]
"[None, None]",64,0,0,3,80,[]
"[0, 1]",61,2,2,0,81,"[2, 3]"
"[None, None]",62,0,0,1,81,[]
"[None, None]",63,0,0,2,81,[]
"[None, None]",64,0,0,3,81,[]
"[0, 1]",61,2,2,0,82,"[2, 3]"
"[None, None]",62,0,0,1,82,[]
"[None, None]",63,0,0,2,82,[]
"[None, None]",64,0,0,3,82,[]
"[0, 1]",61,2,2,0,83,"[2, 3]"
"[None, None]",62,0,0,1,83,[]
"[None, None]",63,0,0,2,83,[]
"[None, None]",64,0,0,3,83,[]
"[0, 1]",61,2,2,0,84,"[2, 3]"
"[None, None]",62,0,0,1,84,[]
"[None, None]",63,0,0,2,84,[]
"[None, None]",64,0,0,3,84,[]
"[0, 1]",61,2,2,0,85,"[2, 3]"
"[None, None]",62,0,0,1,85,[]
"[None, None]",63,0,0,2,85,[]
"[None, None]",64,0,0,3,85,[]
"[0, 1]",61,2,2,0,86,"[2, 3]"
"[None, None]",62,0,0,1,86,[]
"[None, None]",63,0,0,2,86,[]
"[None, None]",64,0,0,3,86,[]
"[0, 1]",61,2,2,0,87,"[2, 3]"
"[None, None]",62,0,0,1,87,[]
"[None, None]",63,0,0,2,87,[]
"[None, None]",64,0,0,3,87,[]
"[0, 1]",61,2,2,0,88,"[2, 3]"
"[None, None]",62,0,0,1,88,[]
"[None, None]",63,0,0,2,88,[]
"[None, None]",64,0,0,3,88,[]
"[0, 1]",61,2,2,0,89,"[2, 3]"
"[None, None]",62,0,0,1,89,[]
"[None, None]",63,0,0,2,89,[]
"[None, None]",64,0,0,3,89,[]
"[0, 1]",61,2,2,0,90,"[2, 3]"
"[None, None]",62,0,0,1,90,[]
"[None, None]",63,0,0,2,90,[]
"[None, None]",64,0,0,3,90,[]
"[0, 1]",61,2,3,0,91,"[2, 3, 7]"
"[None, None]",62,0,0,1,91,[]
"[None, None]",63,0,0,2,91,[]
"[None, None]",64,0,0,3,91,[]
"[2, 3]",61,2,2,0,92,"[7, 5]"
"[None, None]",62,0,0,1,92,[]
"[None, None]",63,0,0,2,92,[]
"[None, None]",64,0,0,3,92,[]
"[2, 3]",61,2,2,0,93,"[7, 5]"
"[None, None]",62,0,0,1,93,[]
"[None, None]",63,0,0,2,93,[]
"[None, None]",64,0,0,3,93,[]
"[2, 3]",61,2,2,0,94,"[7, 5]"
"[None, None]",62,0,0,1,94,[]
"[None, None]",63,0,0,2,94,[]
"[None, None]",64,0,0,3,94,[]
"[2, 3]",61,2,3,0,95,"[7, 5, 6]"
"[None, None]",62,0,0,1,95,[]
"[None, None]",63,0,0,2,95,[]
"[None, None]",64,0,0,3,95,[]
"[2, 3]",61,2,3,0,96,"[7, 5, 6]"
"[None, None]",62,0,0,1,96,[]
"[None, None]",63,0,0,2,96,[]
"[None, None]",64,0,0,3,96,[]
"[2, 3]",61,2,3,0,97,"[7, 5, 6]"
"[None, None]",62,0,0,1,97,[]
"[None, None]",63,0,0,2,97,[]
"[None, None]",64,0,0,3,97,[]
"[2, 3]",61,2,3,0,98,"[7, 5, 6]"
"[None, None]",62,0,0,1,98,[]
"[None, None]",63,0,0,2,98,[]
"[None, None]",64,0,0,3,98,[]
"[2, 3]",61,2,3,0,99,"[7, 5, 6]"
"[None, None]",62,0,0,1,99,[]
"[None, None]",63,0,0,2,99,[]
"[None, None]",64,0,0,3,99,[]
"[2, 3]",61,2,3,0,100,"[7, 5, 6]"
"[None, None]",62,0,0,1,100,[]
"[None, None]",63,0,0,2,100,[]
"[None, None]",64,0,0,3,100,[]
"[2, 3]",61,2,4,0,101,"[7, 5, 6, 9]"
"[None, None]",62,0,0,1,101,[]
"[None, None]",63,0,0,2,101,[]
"[None, None]",64,0,0,3,101,[]
"[2, 3]",61,2,5,0,102,"[7, 5, 6, 9, 8]"
"[None, None]",62,0,0,1,102,[]
"[None, None]",63,0,0,2,102,[]
"[None, None]",64,0,0,3,102,[]
"[2, 3]",61,2,5,0,103,"[7, 5, 6, 9, 8]"
"[None, None]",62,0,0,1,103,[]
"[None, None]",63,0,0,2,103,[]
"[None, None]",64,0,0,3,103,[]
"[2, 3]",61,2,5,0,104,"[7, 5, 6, 9, 8]"
"[None, None]",62,0,0,1,104,[]
"[None, None]",63,0,0,2,104,[]
"[None, None]",64,0,0,3,104,[]
"[2, 3]",61,2,5,0,105,"[7, 5, 6, 9, 8]"
"[None, None]",62,0,0,1,105,[]
"[None, None]",63,0,0,2,105,[]
"[None, None]",64,0,0,3,105,[]
"[2, 3]",61,2,5,0,106,"[7, 5, 6, 9, 8]"
"[None, None]",62,0,0,1,106,[]
"[None, None]",63,0,0,2,106,[]
"[None, None]",64,0,0,3,106,[]
"[2, 3]",61,2,5,0,107,"[7, 5, 6, 9, 8]"
