episode,seed,scale_index,scale,epsilon,total_reward,steps,final_score,completed_tasks,expired_tasks,eval_score_mean,eval_reward_mean,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count
10.0,17.0,0.0,small,0.19022202609315436,3151.5063304558767,88.0,2647.726768710277,30.0,0.0,2256.9268296942196,2666.3907207811176,48.0,3.0,12.0,1.0,11.0,10.0,2.0,1.0
11.0,18.0,1.0,medium,0.18927091596268858,2942.470260709051,134.0,2896.5101089221866,40.0,42.0,2908.8425581884835,2882.383157694845,46.0,7.0,14.0,3.0,11.0,36.0,6.0,11.0
12.0,19.0,0.0,small,0.18832456138287512,3293.9866998984376,82.0,2758.478384869051,30.0,0.0,2709.8313315144383,3228.6912700819025,26.0,17.0,19.0,2.0,12.0,2.0,1.0,3.0
13.0,20.0,1.0,medium,0.18738293857596075,2186.9742464997903,147.0,2335.1861521260303,36.0,49.0,3042.4196384013912,3118.389089211074,29.0,25.0,13.0,4.0,9.0,29.0,21.0,17.0
14.0,21.0,0.0,small,0.18644602388308096,2142.717750147808,63.0,1829.0444602604512,22.0,8.0,2266.754338030049,2684.209205458023,26.0,3.0,9.0,1.0,9.0,7.0,5.0,3.0
15.0,22.0,1.0,medium,0.18551379376366556,2661.370077163454,135.0,2679.188939503838,39.0,47.0,3657.442254413,3884.389930430981,37.0,6.0,11.0,6.0,6.0,33.0,35.0,1.0
16.0,23.0,0.0,small,0.18458622479484724,2556.955543600022,69.0,2160.1542723880652,25.0,5.0,2520.547425527532,2992.9958580764155,26.0,10.0,15.0,3.0,3.0,6.0,6.0,0.0
17.0,24.0,1.0,medium,0.183663293670873,2735.8999368139125,143.0,2797.5134674207684,41.0,48.0,3133.630126387668,3209.56104748605,50.0,17.0,6.0,6.0,7.0,32.0,25.0,0.0
18.0,25.0,0.0,small,0.18274497720251864,3197.0284579894324,84.0,2681.1284988658836,30.0,0.0,2536.622556455642,3018.5233127456404,43.0,18.0,16.0,0.0,5.0,0.0,1.0,1.0
19.0,26.0,1.0,medium,0.18183125231650604,1284.8127023030424,120.0,1524.6661014041538,28.0,52.0,2897.6072309026063,2963.6167960625066,32.0,7.0,14.0,1.0,9.0,37.0,11.0,9.0
20.0,27.0,0.0,small,0.18092209605492351,2944.3670461025367,74.0,2478.9794013222267,28.0,2.0,2466.596469964573,2926.0244968557845,31.0,8.0,10.0,4.0,3.0,4.0,13.0,1.0
21.0,28.0,1.0,medium,0.1800174855746489,1318.240956673293,121.0,1534.3390716599924,29.0,56.0,2833.118133020734,2814.035472272923,34.0,8.0,25.0,10.0,6.0,22.0,13.0,3.0
22.0,29.0,0.0,small,0.17911739814677563,3274.313961327784,83.0,2743.436473099087,30.0,0.0,2550.2468055366926,3030.8835985752185,26.0,13.0,23.0,3.0,8.0,2.0,6.0,2.0
23.0,30.0,1.0,medium,0.17822181115604174,3010.69629331966,155.0,3039.882579486342,41.0,37.0,3251.397912405483,3353.9768557665066,38.0,66.0,21.0,5.0,15.0,3.0,6.0,1.0
24.0,31.0,0.0,small,0.17733070210026153,2180.2166410214954,63.0,1839.667101822599,22.0,8.0,2268.097220165166,2686.393349658323,19.0,15.0,15.0,3.0,5.0,2.0,3.0,1.0
25.0,32.0,1.0,medium,0.17644404858976023,622.0169874109952,117.0,1032.9507718734337,25.0,61.0,3803.4466339247538,4034.24260032883,28.0,16.0,9.0,6.0,31.0,7.0,14.0,6.0
26.0,33.0,0.0,small,0.17556182834681144,3063.672565240231,76.0,2583.941413849417,29.0,1.0,2638.2935798875696,3142.3133347023245,36.0,15.0,13.0,0.0,8.0,0.0,1.0,3.0
27.0,34.0,1.0,medium,0.1746840192050774,3411.117456026919,141.0,3242.6967041646067,43.0,36.0,2517.0525521996315,2454.711473352362,36.0,20.0,14.0,4.0,10.0,2.0,29.0,26.0
28.0,35.0,0.0,small,0.173810599109052,3108.5316583925373,80.0,2614.0496189844434,29.0,1.0,2511.4160213725004,2974.672550899868,29.0,13.0,14.0,0.0,9.0,4.0,9.0,2.0
29.0,36.0,1.0,medium,0.17294154611350673,4898.692736561466,178.0,4508.4775861499875,55.0,26.0,3625.1508177127253,3835.092101293298,51.0,69.0,18.0,4.0,6.0,9.0,19.0,2.0
